Date,Open,High,Low,Close,Volume
28-08-2017,789.525024,790.974976,780.599976,783.275024,5630656
29-08-2017,780.924988,783.75,765,766.075012,6932842
30-08-2017,773.775024,784.400024,770.625,782.049988,4724774
31-08-2017,787.5,798.724976,787,797.25,11476990
01-09-2017,799.924988,808.299988,799.5,805.049988,7054954
04-09-2017,807.75,818.075012,797.924988,806.674988,9856750
05-09-2017,815,817.424988,810.525024,816.299988,11528262
06-09-2017,813.200012,826.25,811.400024,822.700012,22285024
07-09-2017,823,832.5,815,818.099976,7408536
08-09-2017,820,823.25,812.099976,816.900024,6056729
11-09-2017,821.299988,826.849976,816.549988,817.900024,5801712
12-09-2017,822.75,825,817,823.75,2971669
13-09-2017,824,859.900024,822,849,13430225
14-09-2017,855.799988,861.5,842,843.849976,5425486
15-09-2017,842,852.849976,834.75,841.799988,13072853
18-09-2017,850,851.049988,843.099976,845.549988,2314174
19-09-2017,848.700012,848.75,837,838.599976,3528729
20-09-2017,856.099976,872.5,845.099976,847.150024,11402965
21-09-2017,847,851.700012,836.25,841.349976,5920552
22-09-2017,839.900024,839.900024,813.200012,817.400024,5620443
25-09-2017,815,827.950012,805.200012,821.549988,6505309
26-09-2017,821.700012,827.049988,812.200012,820.099976,4829571
27-09-2017,825.599976,825.700012,795.5,799.150024,8434196
28-09-2017,799.650024,802.900024,780.200012,786.450012,13508179
29-09-2017,791.75,793.400024,779.099976,780.900024,7619230
03-10-2017,795,803.849976,785.349976,798.349976,8387059
04-10-2017,799.200012,824.950012,795.599976,818.849976,8643924
05-10-2017,825,828.450012,818.650024,824.150024,4860479
06-10-2017,824,839.349976,822.599976,837.049988,5942106
09-10-2017,839,839.799988,828,830.650024,4046109
10-10-2017,831,847.299988,831,843.200012,6734986
11-10-2017,845.299988,858.400024,836,840.150024,7049800
12-10-2017,842.099976,876.799988,842.099976,872.75,8522926
13-10-2017,879.299988,890.700012,873.349976,876.450012,9833512
16-10-2017,879,892,861.299988,876.799988,14633539
17-10-2017,878,884,867.200012,874.349976,6354084
18-10-2017,877.400024,917.900024,875,914.5,16765178
19-10-2017,915.799988,921.900024,903,909.900024,3664082
23-10-2017,912.900024,944.700012,909.099976,939.75,12551649
24-10-2017,947.700012,947.700012,928.200012,934.25,6335308
25-10-2017,940.099976,945.900024,929.5,939.900024,4577050
26-10-2017,940,957.799988,931,947.400024,7698704
27-10-2017,950,956.700012,925.700012,929.849976,5256749
30-10-2017,934,945.549988,930.599976,942.5,3576533
31-10-2017,944.950012,945.75,932.200012,940.849976,4345360
01-11-2017,947.75,957.799988,945.75,952.549988,8033040
02-11-2017,952.799988,956.5,944.25,946.599976,4698609
03-11-2017,955.950012,955.950012,940.150024,945.299988,2193730
06-11-2017,942.5,942.5,929,932.5,4460799
07-11-2017,933.349976,935,903.049988,906.700012,9347943
08-11-2017,902.5,906,884.099976,887.799988,8115980
09-11-2017,894.75,909.900024,892.049988,900.5,6860798
10-11-2017,900.950012,900.950012,879.200012,883.849976,6365174
13-11-2017,885,891.900024,873.5,875.25,4155011
14-11-2017,875,895,873,886.700012,5706105
15-11-2017,884.5,890.599976,877.950012,883.700012,6981872
16-11-2017,885.5,906,885.5,903.849976,6931038
17-11-2017,918.950012,924.900024,908.5,911.900024,5586242
20-11-2017,906.200012,924.349976,905,920.849976,4220192
21-11-2017,926.799988,939.650024,925.5,932.549988,5980763
22-11-2017,937.450012,938.650024,923.450012,930.75,5055490
23-11-2017,931,949.900024,926.650024,947,7329126
24-11-2017,950,959.5,947.400024,951.099976,6394443
27-11-2017,947.25,957.5,944,951.349976,4680074
28-11-2017,949.849976,951.349976,938.099976,943.349976,4641893
29-11-2017,941.849976,950,941,946,3674864
30-11-2017,941.450012,941.450012,919.5,921.549988,9434893
01-12-2017,924.450012,931.25,907.700012,910.099976,5081389
